㫃	影開三C元上
㫊	影開一歌上
㫍	以開三宵平
㫎	曉合三C微平
㫏	影開四蕭上
㫐	影開四蕭上
㫚	曉合一魂入
㫱	孃開二刪上
㫹	生開三魚去
㫽	來三鍾入
㬄	徹開二刪去
㬉	泥合一寒上
㬊	匣合一寒上
㬎	曉開四先上
㬎	疑開一覃入
㬒	明一唐上
㬓	滂三A宵去
㬗	泥開四先去
㬜	精開三真去
㬝	心一東平
㬤	溪開三B侵入
㬫	影開四先去
㬮	孃開二山平
㬮	泥開一寒去
㬰	以合三虞平
㬱	透開四齊去
㬵	匣開二肴平
㬻	曉合一唐上
㭁	日開三蒸去
㭁	日開三蒸平
㭂	精開四蕭上
㭈	見合四先入
㭊	心開四青入
㭋	並二江上
㭑	明一泰去
㭔	來一模平
㭕	溪開三C魚平
㭘	匣開一覃入
㭘	羣開三B鹽入
㭘	羣開三C嚴入
㭘	見開一覃入
㭚	來開三魚上
㭛	滂二佳去
㭜	日三東平
㭝	羣三C尤平
㭠	心開四先上
㭩	來一模上
㭩	來合一寒入
㭩	來合三仙入
㭫	從合一歌平
㭭	幫二刪入
㭭	幫四先入
㭯	知開三鹽入
㭰	精合三支上
㭰	精合三支平
㭸	定一模平
㭺	影開三B鹽上
㭼	定開一覃入
㭼	透開一覃入
㭿	疑開一唐平
㮀	匣開二咸平
㮁	匣開二肴平
㮂	見三C鍾入
㮃	影合三B支平
㮅	章合三脂平
㮇	透開四添去
㮌	明三A仙平
㮍	精開四先平
㮐	心開三清上
㮕	日合三仙上
㮖	見開二山入
㮘	明一豪平
㮙	疑開一唐入
㮚	來開三真入
㮝	匣開二耕入
㮢	匣一侯平
㮤	邪三鍾平
㮦	心開一唐入
㮧	影一模平
㮨	精開三蒸入
㮩	心開三蒸入
㮫	匣開一寒入
㮬	影一東平
㮭	匣開二咸平
㮯	匣合一魂上
㮯	匣合一魂平
㮰	並三A脂平
㮰	並四先入
㮲	初三尤平
㮴	心開一豪平
㮶	生二江入
㮷	見開四齊平
㮿	幫三A真入
㯁	並一灰平
㯂	端開一泰去
㯃	清開三真入
㯄	章開三支平
㯅	並三A支平
㯅	並三B支平
㯅	幫四齊平
㯉	徹開三魚平
㯊	匣開一痕平
㯋	見合四青上
㯍	精開三陽上
㯓	透開一談入
㯔	初合三祭去
㯔	清合三祭去
㯕	心開四齊平
㯙	澄開三仙入
㯚	端開一覃入
㯛	匣一模平
㯜	生開三臻平
㯞	見合三A仙去
㯟	來一東入
㯠	溪開四先去
㯡	並二肴平
㯫	羣開三C魚平
㯬	來開三鹽上
㯮	常三鍾入
㯯	見一東去
㯱	滂一豪平
㯲	見開三B侵去
㯳	見開三B庚上
㯸	精開三真上
㯺	匣開二銜去
㯺	曉開一談上
㯻	見合一魂上
㯽	幫三A真平
㯿	以開三鹽入
㯿	來開三鹽入
㰁	來開一歌上
㰂	書開三侵上
㰈	來開三鹽上
㰊	邪開三鹽平
㰋	並三A真平
㰍	來一東平
㰘	以開三脂平
㰚	來開三支平
㰠	曉開一唐平
㰢	溪開二耕平
㰣	精開三支去
㰣	精開三支平
㰤	曉開一歌上
㰤	曉開一歌去
㰤	溪開二麻去
㰥	曉開四齊去
㰦	溪開三C歌平
㰦	溪開三C魚去
㰨	曉開二佳平
㰪	影開二佳平
㰪	見合四齊平
㰬	心合三真平
㰭	曉合三C虞平
㰮	常開三真上
㰯	曉一侯去
㰯	透一侯去
㰰	曉開二咸入
㰲	影三C東入
㰲	曉合三B蒸入
㰲	章三鍾入
㰳	影開二麻去
㰴	滂一侯去
㰵	精合三真入
㰶	並三B宵上
㰹	曉開二咸平
㰻	影開三B脂上
㰼	生開三鹽入
㰽	影開三C元去
㱀	初合二夬去
㱂	溪開一唐平
㱃	影開三B侵上
㱄	曉開一登入
㱇	曉開三C蒸入
㱇	生開三蒸入
㱊	影三C尤平
㱍	來合一寒平
㱎	見合一魂平
㱒	曉開一歌平
㱕	見合三C微平
㱖	從合三脂去
㱙	曉三C尤上
㱚	從開一寒平
㱚	疑合二刪入
㱜	莊開二山入
㱞	疑開三B侵入
㱟	滂三B支上
㱟	滂三B支平
㱠	溪一模平
㱡	生開三蒸上
㱡	生開三蒸平
㱣	透合一灰上
㱤	心開四青入
㱥	來開一登去
㱥	來開三蒸平
㱦	溪開三B支平
㱦	見開三B支上
㱦	見開三B支平
㱬	影合一灰上
㱯	疑開一咍平
㱯	見開一咍平
㱱	匣合一灰上
㱲	影開三A支去
㱳	明二庚入
㱴	從開三支去
㱵	幫三C文去
㱸	並三A清入
㱸	並四青入
㱻	來合一歌去
㱻	來合一泰去
㱽	知開三侵上
㱽	羣開三B侵平
㱾	溪開一咍平
㱿	溪二江入
㲀	崇開三臻平
㲀	章開三真平
㲃	溪開三B幽平
㲃	見三C尤去
㲄	溪一東入
㲅	見開四齊去
㲈	常開三宵平
㲉	溪一東入
㲉	溪二江入
㲋	徹開三陽入
㲍	章開三支平
㲏	滂一豪平
㲓	書合三虞去
㲔	心開三仙平
㲕	來合一泰去
㲕	來合三仙入
㲖	心開四蕭平
㲗	滂三C虞平
㲚	生開二麻平
㲝	明一豪去
㲞	心合一魂入
㲟	影開三B庚上
㲡	泥開一泰去
㲢	並四先上
㲥	定開一唐平
㲦	匣開一寒去
㲪	端開一登平
㲫	並一東入
㲬	精開三宵平
㲰	孃開二庚平
㲱	來開三鹽入
㲲	定開四添入
㲳	知開三真入
㲺	精開三真入
㲼	疑開三C廢去
㲽	書開三陽平
㲽	泥開四先去
㳀	見合一歌去
㳁	莊開三蒸入
㳂	以合三仙平
㳄	邪開三仙平
㳅	來三尤平
㳐	崇開二刪入
㳗	初開二佳去
㳘	昌三東平
㳙	見合四先平
㳛	以三尤平
㳛	以合三虞平
㳥	來一東去
㳦	匣開二皆去
㳧	昌開三鹽入
㳨	精開一寒入
㳬	邪合三仙去
㳬	邪合三仙平
㳶	泥一侯上
㳹	影合一唐上
㳻	清一模去
㳻	生開二耕入
㳻	莊開二庚入
㴂	透開一談平
㴄	影合二庚上
㴐	明四先去
㴒	以開三清入
㴥	清開三宵去
㴦	見三C東平
㴧	心開三蒸入
㴫	見合一魂去
㴬	邪開三麻去
㴯	章開三脂平
㴲	心開三支平
㴴	澄開二咸上
㴸	書開三鹽上
㴽	心開四先入
㵂	書開三魚去
㵅	透開一覃平
㵋	明二佳上
㵋	明四青入
㵎	見開二刪去
㵐	溪合三C元入
㵑	匣開一歌去
㵒	並三C微去
㵗	並三B蒸平
㵝	以開三祭去
㵞	崇三尤平
㵟	明三B脂平
㵟	明三C微平
㵣	溪開一寒入
㵧	見開一寒入
㵨	滂三A支去
㵩	以開三祭去
㵫	孃開三侵入
㵺	滂二佳去
㵻	曉三C尤平
㵽	來合一灰上
㵾	初開三庚去
㵾	從開三清去
㵿	匣開四蕭上
㶀	見開二肴平
㶁	見合二庚入
㶄	以開三鹽平
㶆	章開三魚平
㶇	匣合二庚去
㶇	匣合二庚平
㶌	來開三仙平
㶏	影開三C殷上
㶏	影開三C殷去
㶏	影開三C殷平
㶒	書開一談上
㶒	透開一覃去
