稽攷	見開齊平 溪豪上
稽首	溪開齊上 書尤上
積分	精開清入 幫文平
空當	溪一東去 端開唐平
空缺	溪一東去 溪合A仙入
空閑	溪一東去 匣開山平
空閒	溪一東平 見開山平
立夏	來侵入 匣開二麻去
等差	端開登上 初開支平
答應	端覃入 影開蒸去
節省	精開先入 生開三庚上
簡易	見開山上 以開支去
純束	定魂平 書鍾入
素質	心模去 章開眞入
給予	見B侵入 以魚上
經過	見開青平 見合一歌平
編号	幫先平 匣豪去
總要	精一東上 影A宵去
羊圈	以開陽平 羣合元上
翹楚	羣A宵平 初魚上
翹舌	羣A宵去 船開仙入
翹起	羣A宵去 溪之上
翹首	羣A宵平 書尤上
聖上	書開清去 常開陽去
聲調	書開清平 定蕭去
背棄	並灰去 溪開A脂去
胖子	滂江去 精之上
自首	從開脂去 書尤去
臯陶	見豪平 以宵平
至少	章開脂去 書宵上
與會	以魚去 匣合泰去
般師	幫刪平 生開脂平
般運	幫寒平 云文去
芍藥	常開陽入 以開陽入
花費	曉合二麻平 滂微去
芳菲	滂陽平 滂微平
茶几	澄開二麻平 見開B脂上
荷花	匣開一歌平 曉合二麻平
荸薺	並魂入 從開脂平
莞爾	匣合刪上 日開支上
莽蒼	明唐上 清開唐上
菏澤	見開一歌平 澄開二庚入
菝葜	並山入 溪開山入
菝𦸉	並山入 溪開山入
華僑	匣合二麻平 羣B宵平
華夏	匣合二麻平 匣開二麻上
華山	匣合二麻去 生開山平
菲薄	滂微上 並唐入
落魄	來開唐入 透開唐入
著名	知魚去 明A清平
蒸乾	章開蒸平 見開寒平
薜荔	並齊去 來開齊去
藏人	從開唐去 日開眞平
藏區	從開唐去 溪虞平
藏品	從開唐平 滂B侵上
藏彝	從開唐去 以開脂平
藏族	從開唐去 從一東入
藏書	從開唐平 書魚平
藏緬	從開唐去 明A仙上
藏身	從開唐平 書開眞平
處在	昌魚上 從咍上
處女	昌魚上 孃魚上
處子	昌魚上 精之上
處方	昌魚上 幫陽平
處於	昌魚上 影魚平
處暑	昌魚上 書魚上
處理	昌魚上 來之上
處置	昌魚上 知之去
蜲蛇	影合B支平 以開支平
蟾蜍	常鹽平 常魚平
蟾蠩	章鹽平 章魚平
蟾諸	章鹽平 章魚平
行乞	匣開二庚平 溪欣入
行了	匣開二庚平 來蕭上
行事	匣開二庚平 崇之去
行人	匣開二庚平 日開眞平
行伍	匣開唐平 疑模上
行兇	匣開二庚平 曉鍾平
行刑	匣開二庚平 匣開青平
行列	匣開唐平 來開仙入
行刺	匣開二庚平 清開支去
行動	匣開二庚平 定一東上
行号	匣開唐平 匣豪去
行商	匣開二庚平 書開陽平
行善	匣開二庚平 常開仙上
行在	匣開二庚平 從咍去
行好	匣開二庚平 曉豪上
行家	匣開唐平 見開二麻平
行寬	匣開唐平 溪合寒平
行將	匣開二庚平 精開陽平
行屍	匣開二庚平 書開脂平
行徑	匣開二庚平 見開青去
行情	匣開唐平 從開清平
行房	匣開二庚平 並陽平
行政	匣開二庚平 章開清去
行數	匣開唐平 生虞去
行星	匣開二庚平 心開青平
行書	匣開二庚平 書魚平
行會	匣開唐平 匣合泰去
行李	匣開二庚平 來之上
行板	匣開二庚平 幫刪上
行業	匣開唐平 疑嚴入
行楷	匣開二庚平 溪開皆上
行樂	匣開二庚平 來開唐入
行權	匣開二庚平 羣合B仙平
行爲	匣開二庚平 云合支平
行當	匣開唐平 端開唐去
行省	匣開二庚平 生開三庚上
行禮	匣開二庚平 來開齊上
行竊	匣開二庚平 清開先入
行署	匣開二庚平 常魚去
行者	匣開二庚平 章開三麻上
