㐖毒	匣開四先入 定一冬入
明末清初	明三B庚平 明一寒入 清開三清平 初開三魚平
明爭暗鬥	明三B庚平 莊開二耕平 影開一覃去 端一侯去
明珠暗投	明三B庚平 章合三虞平 影開一覃去 定一侯平
明知故問	明三B庚平 知開三支平 見一模去 明三C文去
明知故犯	明三B庚平 知開三支平 見一模去 並三C凡上
昏天黑地	曉合一魂平 透開四先平 曉開一登入 定開四脂去
昏昏欲睡	曉合一魂平 曉合一魂平 以三鍾入 常合三支去
昏昏沉沉	曉合一魂平 曉合一魂平 澄開三侵平 澄開三侵平
昏頭昏腦	曉合一魂平 定一侯平 曉合一魂平 泥開一豪上
星座運勢	心開四青平 從合一歌去 云合三C文去 書開三祭去
星星之火	心開四青平 心開四青平 章開三之平 曉合一歌上
星洲日報	心開四青平 章三尤平 日開三真入 幫一豪去
星流電擊	心開四青平 來三尤平 定開四先去 見開四青入
星海爭霸	心開四青平 曉開一咍上 莊開二耕平 幫二麻去
星際爭霸	心開四青平 精開三祭去 莊開二耕平 幫二麻去
映入腦海	影開三B庚去 日開三侵入 泥開一豪上 曉開一咍上
映象文件	影開三B庚去 邪開三陽上 明三C文平 羣開三B仙上
春柳劇場	昌合三真平 來三尤上 羣開三B庚入 澄開三陽平
春武里府	昌合三真平 明三C虞上 來開三之上 幫三C虞上
春秋五霸	昌合三真平 清三尤平 疑一模上 幫二麻去
春秋戰國	昌合三真平 清三尤平 章開三仙去 見合一登入
春秋時代	昌合三真平 清三尤平 常開三之平 定開一咍去
是非之地	常開三支上 幫三C微平 章開三之平 定開四脂去
是非曲直	常開三支上 幫三C微平 溪三C鍾入 澄開三蒸入
時代廣場	常開三之平 定開一咍去 見合一唐上 澄開三陽平
時日無多	常開三之平 日開三真入 明三C虞平 端開一歌平
時時刻刻	常開三之平 常開三之平 溪開一登入 溪開一登入
時至今日	常開三之平 章開三脂去 見開三B侵平 日開三真入
時辰未到	常開三之平 常開三真平 明三C微去 端開一豪去
時間簡史	常開三之平 見開二山去 見開二山上 生開三之上
時間進程	常開三之平 見開二山去 精開三真去 澄開三清平
晃晃悠悠	匣合一唐上 匣合一唐上 以三尤平 以三尤平
晚半天兒	明三C元上 幫一寒去 透開四先平 日開三支平
晚婚晚育	明三C元上 曉合一魂平 明三C元上 以三東入
晝夜節律	知三尤去 以開三麻去 精開四先入 來合三真入
普利司通	滂一模上 來開三脂去 心開三之平 透一東平
普利策獎	滂一模上 來開三脂去 初開二耕入 精開三陽上
普天同慶	滂一模上 透開四先平 定一東平 溪開三B庚去
普普藝術	滂一模上 滂一模上 疑開三A祭去 船合三真入
普普通通	滂一模上 滂一模上 透一東平 透一東平
普林斯頓	滂一模上 來開三侵平 心開三支平 端合一魂去
普法戰爭	滂一模上 幫三C凡入 章開三仙去 莊開二耕平
普羅扎克	滂一模上 來開一歌平 莊開二山入 溪開一登入
普羅旺斯	滂一模上 來開一歌平 云合三C陽去 心開三支平
普蘭店市	滂一模上 來開一寒平 端開四添去 常開三之上
普通名詞	滂一模上 透一東平 明三A清平 邪開三之平
普通夜鷹	滂一模上 透一東平 以開三麻去 影開三C蒸平
普通朱雀	滂一模上 透一東平 章合三虞平 精開三陽入
普通翠鳥	滂一模上 透一東平 清合三脂去 端開四蕭上
普通赤楊	滂一模上 透一東平 昌開三清入 以開三陽平
普通鷹鵑	滂一模上 透一東平 影開三C蒸平 見合四先平
普通鸕鶿	滂一模上 透一東平 來一模平 從開三之平
普雷斯堡	滂一模上 來合一灰平 心開三支平 幫一豪上
普雷斯頓	滂一模上 來合一灰平 心開三支平 端合一魂去
普魯斯特	滂一模上 來一模上 心開三支平 定開一登入
景寧畬鄉	見開三B庚上 泥開四青平 以開三魚平 曉開三C陽平
景山公園	見開三B庚上 生開二山平 見一東平 云合三C元平
晴天霹靂	從開三清平 透開四先平 滂四青入 來開四青入
晴時多雲	從開三清平 常開三之平 端開一歌平 云合三C文平
晴空萬里	從開三清平 溪一東平 明三C元去 來開三之上
晶體結構	精開三清平 透開四齊上 見開四先入 見一侯去
智力測驗	知開三支去 來開三蒸入 初開三蒸入 疑開三B鹽去
智力玩具	知開三支去 來開三蒸入 疑合一寒去 羣合三C虞去
智囊機構	知開三支去 泥開一唐平 見開三C微平 見一侯去
智珠在握	知開三支去 章合三虞平 從開一咍上 影二江入
暗冕鷦鶯	影開一覃去 明三B仙上 精開三宵平 影開二耕平
暗察明訪	影開一覃去 初開二山入 明三B庚平 滂三C陽去
暗灰鵑鶪	影開一覃去 曉合一灰平 見合四先平 見合四青入
暗無天日	影開一覃去 明三C虞平 透開四先平 日開三真入
暗綠柳鶯	影開一覃去 來三鍾入 來三尤上 影開二耕平
暗腹雪雞	影開一覃去 幫三C東入 心合三仙入 見開四齊平
暗色鴉雀	影開一覃去 生開三蒸入 影開二麻平 精開三陽入
暗送秋波	影開一覃去 心一東去 清三尤平 幫一歌平
暢所欲言	徹開三陽去 生開三魚上 以三鍾入 疑開三C元平
暢貨中心	徹開三陽去 曉合一歌去 知三東平 心開三侵平
曇花一現	定開一覃平 曉合二麻平 影開三A真入 匣開四先去
曙紅朱雀	常開三魚去 匣一東平 章合三虞平 精開三陽入
曠古未有	溪合一唐去 見一模上 明三C微去 云三C尤上
曠日持久	溪合一唐去 日開三真入 澄開三之平 見三C尤上
曲尺樓梯	溪三C鍾入 昌開三清入 來一侯平 透開四齊平
曲突徙薪	溪三C鍾入 定合一魂入 心開三支上 心開三真平
曲終奏雅	溪三C鍾入 章三東平 精一侯去 疑開二麻上
曲線救國	溪三C鍾入 心開三仙去 見三C尤去 見合一登入
曲阜孔廟	溪三C鍾入 並三C尤上 溪一東上 明三B宵去
書面許可	書開三魚平 明三A仙去 曉開三C魚上 溪開一歌上
書香門第	書開三魚平 曉開三C陽平 明一魂平 定開四齊去
替罪羔羊	透開四齊去 從合一灰上 見開一豪平 以開三陽平
替補隊員	透開四齊去 幫一模上 定合一灰去 云合三C文平
替身演員	透開四齊去 書開三真平 以開三仙上 云合三C文平
最佳利益	精合一泰去 見開二佳平 來開三脂去 影開三A清入
最終幻想	精合一泰去 章三東平 匣合二山去 心開三陽上
有備無患	云三C尤上 並三B脂去 明三C虞平 匣合二刪去
有備而來	云三C尤上 並三B脂去 日開三之平 來開一咍平
有利可圖	云三C尤上 來開三脂去 溪開一歌上 定一模平
有勇無謀	云三C尤上 以三鍾上 明三C虞平 明三C尤平
有口無心	云三C尤上 溪一侯上 明三C虞平 心開三侵平
有口皆碑	云三C尤上 溪一侯上 見開二皆平 幫三B支平
有史以來	云三C尤上 生開三之上 以開三之上 來開一咍平
有同情心	云三C尤上 定一東平 從開三清平 心開三侵平
有名亡實	云三C尤上 明三A清平 明三C陽平 船開三真入
有名無實	云三C尤上 明三A清平 明三C虞平 船開三真入
有失身份	云三C尤上 書開三真入 書開三真平 幫三B真平
有始有終	云三C尤上 書開三之上 云三C尤上 章三東平
有始無終	云三C尤上 書開三之上 明三C虞平 章三東平
有害無利	云三C尤上 匣開一泰去 明三C虞平 來開三脂去
有害無益	云三C尤上 匣開一泰去 明三C虞平 影開三A清入
有征無戰	云三C尤上 章開三清平 明三C虞平 章開三仙去
有得有失	云三C尤上 端開一登入 云三C尤上 書開三真入
有志竟成	云三C尤上 章開三之去 見開三B庚去 常開三清平
有情有義	云三C尤上 從開三清平 云三C尤上 疑開三B支去
有意無意	云三C尤上 影開三C之去 明三C虞平 影開三C之去
有手有腳	云三C尤上 書三尤上 云三C尤上 見開三C陽入
有損壓縮	云三C尤上 心合一魂上 影開二銜入 生三東入
有期徒刑	云三C尤上 羣開三C之平 定一模平 匣開四青平
有板有眼	云三C尤上 幫二刪上 云三C尤上 疑開二山上
有核國家	云三C尤上 匣開二耕入 見合一登入 見開二麻平
有條有理	云三C尤上 定開四蕭平 云三C尤上 來開三之上
有機化學	云三C尤上 見開三C微平 曉合二麻去 匣二江入
有機玻璃	云三C尤上 見開三C微平 滂一歌平 來開三支平
有權勢者	云三C尤上 羣合三B仙平 書開三祭去 章開三麻上
有沉有浮	云三C尤上 澄開三侵平 云三C尤上 並三C尤平
有目無睹	云三C尤上 明三C東入 明三C虞平 端一模上
有眼無珠	云三C尤上 疑開二山上 明三C虞平 章合三虞平
有耐久力	云三C尤上 泥開一咍去 見三C尤上 來開三蒸入
有聲有色	云三C尤上 書開三清平 云三C尤上 生開三蒸入
有聲讀物	云三C尤上 書開三清平 定一東入 明三C文入
有色無膽	云三C尤上 生開三蒸入 明三C虞平 端開一談上
有蹄動物	云三C尤上 定開四齊平 定一東上 明三C文入
有限元法	云三C尤上 匣開二山上 疑合三C元平 幫三C凡入
有限公司	云三C尤上 匣開二山上 見一東平 心開三之平
有頭有尾	云三C尤上 定一侯平 云三C尤上 明三C微上
有頭無尾	云三C尤上 定一侯平 明三C虞平 明三C微上
有驚無險	云三C尤上 見開三B庚平 明三C虞平 曉開三B鹽上
服務規章	並三C東入 明三C虞去 見合三A支平 章開三陽平
服服帖帖	並三C東入 並三C東入 透開四添入 透開四添入
木乃伊化	明一東入 泥開一咍上 影開三A脂平 曉合二麻去
木人石心	明一東入 日開三真平 常開三清入 心開三侵平
木薯澱粉	明一東入 常開三魚去 定開四先去 幫三C文上
木訥寡言	明一東入 泥合一魂入 見合二麻上 疑開三C元平
木訥老人	明一東入 泥合一魂入 來開一豪上 日開三真平
木馬病毒	明一東入 明二麻上 並三B庚去 定一冬入
木骨都束	明一東入 見合一魂入 端一模平 書三鍾入
未來主義	明三C微去 來開一咍平 章合三虞上 疑開三B支去
未來業績	明三C微去 來開一咍平 疑開三C嚴入 精開四青入
未刪節版	明三C微去 生開二刪平 精開四先入 幫二刪上
未受影響	明三C微去 常三尤上 影開三B庚上 曉開三C陽上
未成年人	明三C微去 常開三清平 泥開四先平 日開三真平
未成年者	明三C微去 常開三清平 泥開四先平 章開三麻上
未竟之志	明三C微去 見開三B庚去 章開三之平 章開三之去
未遑多讓	明三C微去 匣合一唐平 端開一歌平 日開三陽去
末代皇帝	明一寒入 定開一咍去 匣合一唐平 端開四齊去
末名獎品	明一寒入 明三A清平 精開三陽上 滂三B侵上
本位主義	幫一魂上 云合三B脂去 章合三虞上 疑開三B支去
本位貨幣	幫一魂上 云合三B脂去 曉合一歌去 並三A祭去
本來面目	幫一魂上 來開一咍平 明三A仙去 明三C東入
本固枝榮	幫一魂上 見一模去 章開三支平 云合三B庚平
本本主義	幫一魂上 幫一魂上 章合三虞上 疑開三B支去
本草綱目	幫一魂上 清開一豪上 見開一唐平 明三C東入
朱利亞尼	章合三虞平 來開三脂去 影開二麻去 孃開三脂平
李代桃僵	來開三之上 定開一咍去 定開一豪平 見開三C陽平
李希霍芬	來開三之上 曉開三C微平 曉合一唐入 滂三C文平
李維史陀	來開三之上 以合三脂平 生開三之上 定開一歌平
杏仁豆腐	匣開二庚上 日開三真平 定一侯去 並三C虞上
村山富市	清合一魂平 生開二山平 幫三C尤去 常開三之上
杜伊斯堡	定一模上 影開三A脂平 心開三支平 幫一豪上
杜嘉班納	定一模上 見開二麻平 幫二刪平 泥開一覃入
杜松子酒	定一模上 邪三鍾平 精開三之上 精三尤上
杜爾伯特	定一模上 日開三支上 幫二庚入 定開一登入
杜甫草堂	定一模上 幫三C虞上 清開一豪上 定開一唐平
杜秋娘歌	定一模上 清三尤平 孃開三陽平 見開一歌平
杜鵑啼血	定一模上 見合四先平 定開四齊平 曉合四先入
杜鵑花科	定一模上 見合四先平 曉合二麻平 溪合一歌平
杞人之憂	溪開三C之上 日開三真平 章開三之平 影三C尤平
杞人憂天	溪開三C之上 日開三真平 影三C尤平 透開四先平
杞國之憂	溪開三C之上 見合一登入 章開三之平 影三C尤平
杞國憂天	溪開三C之上 見合一登入 影三C尤平 透開四先平
杞天之慮	溪開三C之上 透開四先平 章開三之平 來開三魚去
杞梓之林	溪開三C之上 精開三之上 章開三之平 來開三侵平
束手就擒	書三鍾入 書三尤上 從三尤去 羣開三B侵平
束手就斃	書三鍾入 書三尤上 從三尤去 並三A祭去
束手待斃	書三鍾入 書三尤上 定開一咍上 並三A祭去
束手待死	書三鍾入 書三尤上 定開一咍上 心開三脂上
束手無策	書三鍾入 書三尤上 明三C虞平 初開二耕入
杯酒言歡	幫一灰平 精三尤上 疑開三C元平 曉合一寒平
東交民巷	端一東平 見開二肴平 明三A真平 匣二江去
東兔西烏	端一東平 透一模去 心開四齊平 影一模平
東南亞國	端一東平 泥開一覃平 影開二麻去 見合一登入
東南西北	端一東平 泥開一覃平 心開四齊平 幫一登入
東坡肘子	端一東平 滂一歌平 知三尤上 精開三之上
東密德蘭	端一東平 明三B真入 端開一登入 來開一寒平
東山再起	端一東平 生開二山平 精開一咍去 溪開三C之上
東巴文化	端一東平 幫二麻平 明三C文平 曉合二麻去
東征西討	端一東平 章開三清平 心開四齊平 透開一豪上
東掩西遮	端一東平 影開三B鹽上 心開四齊平 章開三麻平
東條英機	端一東平 定開四蕭平 影開三B庚平 見開三C微平
東海艦隊	端一東平 曉開一咍上 匣開二銜上 定合一灰去
東現漢紀	端一東平 匣開四先去 曉開一寒去 見開三C之上
東西半球	端一東平 心開四齊平 幫一寒去 羣三C尤平
東西南北	端一東平 心開四齊平 泥開一覃平 幫一登入
東討西征	端一東平 透開一豪上 心開四齊平 章開三清平
東鱗西爪	端一東平 來開三真平 心開四齊平 莊開二肴上
杳無人煙	影開四蕭上 明三C虞平 日開三真平 影開四先平
杳無消息	影開四蕭上 明三C虞平 心開三宵平 心開三蒸入
杳無音信	影開四蕭上 明三C虞平 影開三B侵平 心開三真去
松鶴遐齡	邪三鍾平 匣開一唐入 匣開二麻平 來開四青平
枯木逢春	溪一模平 明一東入 並三C鍾平 昌合三真平
枯燥無味	溪一模平 心開一豪上 明三C虞平 明三C微去
架二郎腿	見開二麻去 日開三脂去 來開一唐平 透合一灰上
柏油馬路	幫二庚入 以三尤平 明二麻上 來一模去
柏舉之戰	幫二庚入 見開三C魚上 章開三之平 章開三仙去
柔佛海峽	日三尤平 並三C文入 曉開一咍上 匣開二咸入
柔情似水	日三尤平 從開三清平 邪開三之上 書合三脂上
柔情俠骨	日三尤平 從開三清平 匣開四添入 見合一魂入
柯爾克孜	見開一歌平 日開三支上 溪開一登入 精開三之平
柳暗花明	來三尤上 影開一覃去 曉合二麻平 明三B庚平
柳煙花霧	來三尤上 影開四先平 曉合二麻平 明三C虞去
柳綠花紅	來三尤上 來三鍾入 曉合二麻平 匣一東平
柳陌花衢	來三尤上 明二庚入 曉合二麻平 羣合三C虞平
栗喉鶪鶥	來開三真入 匣一侯平 見合四青入 明三B脂平
栗斑杜鵑	來開三真入 幫二刪平 定一模上 見合四先平
栗斑腹鵐	來開三真入 幫二刪平 幫三C東入 明三C虞平
栗耳鳳鶥	來開三真入 日開三之上 並三C東去 明三B脂平
栗腹文鳥	來開三真入 幫三C東入 明三C文平 端開四蕭上
栗腹磯鶇	來開三真入 幫三C東入 見開三C微平 端一東平
栗頭地鶯	來開三真入 定一侯平 定開四脂去 影開二耕平
栗頭雀鶥	來開三真入 定一侯平 精開三陽入 明三B脂平
栗頰噪鶥	來開三真入 見開四添入 心開一豪去 明三B脂平
栗額鶪鶥	來開三真入 疑開二庚入 見合四青入 明三B脂平
栩栩如生	曉合三C虞上 曉合三C虞上 日開三魚平 生開三庚平
核子醫學	匣開二耕入 精開三之上 影開三C之平 匣二江入
核對帳目	匣開二耕入 端合一灰去 知開三陽去 明三C東入
核糖核酸	匣開二耕入 定開一唐平 匣開二耕入 心合一寒平
核試驗堆	匣開二耕入 書開三之去 疑開三B鹽去 端合一灰平
核試驗場	匣開二耕入 書開三之去 疑開三B鹽去 澄開三陽平
核證模型	匣開二耕入 章開三蒸去 明一模平 匣開四青平
桂系軍閥	見合四齊去 匣開四齊去 見合三C文平 並三C元入
桃園結義	定開一豪平 云合三C元平 見開四先入 疑開三B支去
桃色案件	定開一豪平 生開三蒸入 影開一寒去 羣開三B仙上
桃花心木	定開一豪平 曉合二麻平 心開三侵平 明一東入
桃花水母	定開一豪平 曉合二麻平 書合三脂上 明一侯上
桃金娘科	定開一豪平 見開三B侵平 孃開三陽平 溪合一歌平
案兵束甲	影開一寒去 幫三B庚平 書三鍾入 見開二銜入
案甲休兵	影開一寒去 見開二銜入 曉三C尤平 幫三B庚平
桌面系統	知二江入 明三A仙去 匣開四齊去 透一冬去
桑給巴爾	心開一唐平 見開三B侵入 幫二麻平 日開三支上
梅斯梅爾	明一灰平 心開三支平 明一灰平 日開三支上
梅河口市	明一灰平 匣開一歌平 溪一侯上 常開三之上
梅里雪山	明一灰平 來開三之上 心合三仙入 生開二山平
條斑竊蠹	定開四蕭平 幫二刪平 清開四先入 端一模去
條條框框	定開四蕭平 定開四蕭平 溪合三C陽平 溪合三C陽平
條紋噪鶥	定開四蕭平 明三C文平 心開一豪去 明三B脂平
梨俱吠陀	來開三脂平 見合三C虞平 並三C廢去 定開一歌平
梯式配股	透開四齊平 書開三蒸入 滂一灰去 見一模上
梯次隊形	透開四齊平 清開三脂去 定合一灰去 匣開四青平
棄暗投明	溪開三A脂去 影開一覃去 定一侯平 明三B庚平
棄舊圖新	溪開三A脂去 羣三C尤去 定一模平 心開三真平
棉花拳擊	明三A仙平 曉合二麻平 羣合三B仙平 見開四青入
棘皮動物	見開三C蒸入 並三B支平 定一東上 明三C文入
楔形文字	心開四先入 匣開四青平 明三C文平 從開三之去
業務模式	疑開三C嚴入 明三C虞去 明一模平 書開三蒸入
極北柳鶯	羣開三C蒸入 幫一登入 來三尤上 影開二耕平
極權主義	羣開三C蒸入 羣合三B仙平 章合三虞上 疑開三B支去
極端主義	羣開三C蒸入 端合一寒平 章合三虞上 疑開三B支去
極端份子	羣開三C蒸入 端合一寒平 幫三B真平 精開三之上
極簡主義	羣開三C蒸入 見開二山上 章合三虞上 疑開三B支去
極限運動	羣開三C蒸入 匣開二山上 云合三C文去 定一東上
榮宗耀祖	云合三B庚平 精一冬平 以開三宵去 精一模上
榮歸故里	云合三B庚平 見合三C微平 見一模去 來開三之上
模糊邏輯	明一模平 匣一模平 來開一歌去 從開三侵入
模里西斯	明一模平 來開三之上 心開四齊平 心開三支平
機器人學	見開三C微平 溪開三B脂去 日開三真平 匣二江入
機器翻譯	見開三C微平 溪開三B脂去 滂三C元平 以開三清入
機密文件	見開三C微平 明三B真入 明三C文平 羣開三B仙上
機械工人	見開三C微平 匣開二皆去 見一東平 日開三真平
機械工程	見開三C微平 匣開二皆去 見一東平 澄開三清平
機械戰警	見開三C微平 匣開二皆去 章開三仙去 見開三B庚上
機械翻譯	見開三C微平 匣開二皆去 滂三C元平 以開三清入
機關布景	見開三C微平 見合二刪平 幫一模去 見開三B庚上
檔案建立	端開一唐平 影開一寒去 見開三C元去 來開三侵入
檔案服務	端開一唐平 影開一寒去 並三C東入 明三C虞去
檢證程序	見開三B鹽上 章開三蒸去 澄開三清平 邪開三魚上
檢驗醫學	見開三B鹽上 疑開三B鹽去 影開三C之平 匣二江入
櫻桃小口	影開二耕平 定開一豪平 心開三宵上 溪一侯上
櫻桃蘿蔔	影開二耕平 定開一豪平 來開一歌平 並一登入
權利法案	羣合三B仙平 來開三脂去 幫三C凡入 影開一寒去
權利聲明	羣合三B仙平 來開三脂去 書開三清平 明三B庚平
權力紛爭	羣合三B仙平 來開三蒸入 滂三C文平 莊開二耕平
權力鬥爭	羣合三B仙平 來開三蒸入 端一侯去 莊開二耕平
權宜之策	羣合三B仙平 疑開三B支平 章開三之平 初開二耕入
權宜之計	羣合三B仙平 疑開三B支平 章開三之平 見開四齊去
權慾薰心	羣合三B仙平 以三鍾入 曉合三C文平 心開三侵平
權變理論	羣合三B仙平 幫三B仙去 來開三之上 來合一魂去
次級貸款	清開三脂去 見開三B侵入 透開一咍去 溪合一寒上
次貸危機	清開三脂去 透開一咍去 疑合三B支平 見開三C微平
欣欣向榮	曉開三C殷平 曉開三C殷平 曉開三C陽去 云合三B庚平
欲言又止	以三鍾入 疑開三C元平 云三C尤去 章開三之上
款到發貨	溪合一寒上 端開一豪去 幫三C元入 曉合一歌去
歇斯底里	曉開三C元入 心開三支平 端開四齊上 來開三之上
歌羅西書	見開一歌平 來開一歌平 心開四齊平 書開三魚平
歡呼雀躍	曉合一寒平 曉一模平 精開三陽入 以開三陽入
歡喜冤家	曉合一寒平 曉開三C之上 影合三C元平 見開二麻平
歡天喜地	曉合一寒平 透開四先平 曉開三C之上 定開四脂去
歡欣雀躍	曉合一寒平 曉開三C殷平 精開三陽入 以開三陽入
歡歡喜喜	曉合一寒平 曉合一寒平 曉開三C之上 曉開三C之上
止咳糖漿	章開三之上 匣開一咍平 定開一唐平 精開三陽平
此時以前	清開三支上 常開三之平 以開三之上 從開四先平
此時此刻	清開三支上 常開三之平 清開三支上 溪開一登入
此時此地	清開三支上 常開三之平 清開三支上 定開四脂去
此致敬禮	清開三支上 知開三脂去 見開三B庚去 來開四齊上
此起彼落	清開三支上 溪開三C之上 幫三B支上 來開一唐入
步履紊亂	並一模去 來開三脂上 明三C文去 來合一寒去
步履維艱	並一模去 來開三脂上 以合三脂平 見開二山平
步步為營	並一模去 並一模去 云合三B支平 以合三清平
武器系統	明三C虞上 溪開三B脂去 匣開四齊去 透一冬去
武夷山市	明三C虞上 以開三脂平 生開二山平 常開三之上
武昌起義	明三C虞上 昌開三陽平 溪開三C之上 疑開三B支去
武警戰士	明三C虞上 見開三B庚上 章開三仙去 崇開三之上
歲月流逝	心合三祭去 疑合三C元入 來三尤平 常開三祭去
歲計餘絀	心合三祭去 見開四齊去 以開三魚平 知合三真入
歷久彌堅	來開四青入 見三C尤上 明三A支平 見開四先平
歷史人物	來開四青入 生開三之上 日開三真平 明三C文入
歷史學家	來開四青入 生開三之上 匣二江入 見開二麻平
歷史悠久	來開四青入 生開三之上 以三尤平 見三C尤上
歷史意義	來開四青入 生開三之上 影開三C之去 疑開三B支去
歷史成本	來開四青入 生開三之上 常開三清平 幫一魂上
歷史時期	來開四青入 生開三之上 常開三之平 羣開三C之平
歷史沿革	來開四青入 生開三之上 以合三仙平 見開二耕入
歷史版本	來開四青入 生開三之上 幫二刪上 幫一魂上
歸因理論	見合三C微平 影開三A真平 來開三之上 來合一魂去
歸心似箭	見合三C微平 心開三侵平 邪開三之上 精開三仙去
歸根到底	見合三C微平 見開一痕平 端開一豪去 端開四齊上
歸根結底	見合三C微平 見開一痕平 見開四先入 端開四齊上
死中求生	心開三脂上 知三東平 羣三C尤平 生開三庚平
死乞白賴	心開三脂上 溪開三C殷入 並二庚入 來開一泰去
死亡筆記	心開三脂上 明三C陽平 幫三B真入 見開三C之去
死心踏地	心開三脂上 心開三侵平 透開一覃入 定開四脂去
死有餘辜	心開三脂上 云三C尤上 以開三魚平 見一模平
死無對證	心開三脂上 明三C虞平 端合一灰去 章開三蒸去
死路一條	心開三脂上 來一模去 影開三A真入 定開四蕭平
殊途同歸	常合三虞平 定一模平 定一東平 見合三C微平
殖民主義	常開三蒸入 明三A真平 章合三虞上 疑開三B支去
殘冬臘月	從開一寒平 端一冬平 來開一談入 疑合三C元入
殘年短景	從開一寒平 泥開四先平 端合一寒上 見開三B庚上
殘民害物	從開一寒平 明三A真平 匣開一泰去 明三C文入
殘酷無情	從開一寒平 溪一冬入 明三C虞平 從開三清平
殺人如麻	生開二山入 日開三真平 日開三魚平 明二麻平
殺人未遂	生開二山入 日開三真平 明三C微去 邪合三脂去
殺人案件	生開二山入 日開三真平 影開一寒去 羣開三B仙上
殺豬宰羊	生開二山入 知開三魚平 精開一咍上 以開三陽平
毛手毛腳	明一豪平 書三尤上 明一豪平 見開三C陽入
毛骨悚然	明一豪平 見合一魂入 心三鍾上 日開三仙平
毫無二致	匣開一豪平 明三C虞平 日開三脂去 知開三脂去
毫無效果	匣開一豪平 明三C虞平 匣開二肴去 見合一歌上
毫無疑問	匣開一豪平 明三C虞平 疑開三C之平 明三C文去
毫無遜色	匣開一豪平 明三C虞平 心合一魂去 生開三蒸入
民主主義	明三A真平 章合三虞上 章合三虞上 疑開三B支去
民主革命	明三A真平 章合三虞上 見開二耕入 明三B庚去
民主黨人	明三A真平 章合三虞上 端開一唐上 日開三真平
民意測驗	明三A真平 影開三C之去 初開三蒸入 疑開三B鹽去
民族主義	明三A真平 從一東入 章合三虞上 疑開三B支去
民族團結	明三A真平 從一東入 定合一寒平 見開四先入
民族工業	明三A真平 從一東入 見一東平 疑開三C嚴入
民族舞蹈	明三A真平 從一東入 明三C虞上 定開一豪去
民族英雄	明三A真平 從一東入 影開三B庚平 云三C東平
民權主義	明三A真平 羣合三B仙平 章合三虞上 疑開三B支去
民粹主義	明三A真平 心合三脂去 章合三虞上 疑開三B支去
民航班機	明三A真平 匣開一唐平 幫二刪平 見開三C微平
民間習俗	明三A真平 見開二山去 邪開三侵入 邪三鍾入
民間舞蹈	明三A真平 見開二山去 明三C虞上 定開一豪去
民間藝術	明三A真平 見開二山去 疑開三A祭去 船合三真入
水上飛板	書合三脂上 常開三陽去 幫三C微平 幫二刪上
水利工程	書合三脂上 來開三脂去 見一東平 澄開三清平
水到渠成	書合三脂上 端開一豪去 羣開三C魚平 常開三清平
水力發電	書合三脂上 來開三蒸入 幫三C元入 定開四先去
水天一色	書合三脂上 透開四先平 影開三A真入 生開三蒸入
水性楊花	書合三脂上 心開三清去 以開三陽平 曉合二麻平
水清無魚	書合三脂上 清開三清平 明三C虞平 疑開三C魚平
水火無情	書合三脂上 曉合一歌上 明三C虞平 從開三清平
水管工人	書合三脂上 見合一寒上 見一東平 日開三真平
水落歸槽	書合三脂上 來開一唐入 見合三C微平 從開一豪平
水蒲葦鶯	書合三脂上 並一模平 云合三C微上 影開二耕平
水陸交通	書合三脂上 來三東入 見開二肴平 透一東平
永無寧日	云合三B庚上 明三C虞平 泥開四青平 日開三真入
永無止境	云合三B庚上 明三C虞平 章開三之上 見開三B庚上
永貞革新	云合三B庚上 知開三清平 見開二耕入 心開三真平
求全責備	羣三C尤平 從合三仙平 莊開二耕入 並三B脂去
求同存異	羣三C尤平 定一東平 從合一魂平 以開三之去
求田問舍	羣三C尤平 定開四先平 明三C文去 書開三麻上
江南水鄉	見二江平 泥開一覃平 書合三脂上 曉開三C陽平
江河湖海	見二江平 匣開一歌平 匣一模平 曉開一咍上
江淮官話	見二江平 匣合二皆平 見合一寒平 匣合二夬去
江湖藝人	見二江平 匣一模平 疑開三A祭去 日開三真平
江酌之喜	見二江平 章開三陽入 章開三之平 曉開三C之上
汰舊換新	透開一泰去 羣三C尤去 匣合一寒去 心開三真平
沁人心脾	清開三侵去 日開三真平 心開三侵平 並三A支平
沃爾芬森	影一冬入 日開三支上 滂三C文平 生開三侵平
沅江九肋	疑合三C元平 見二江平 見三C尤上 來開一登入
沉湎酒色	澄開三侵平 明三A仙上 精三尤上 生開三蒸入
沉靜寡言	澄開三侵平 從開三清上 見合二麻上 疑開三C元平
沉魚落雁	澄開三侵平 疑開三C魚平 來開一唐入 疑開二刪去
沉默寡言	澄開三侵平 明一登入 見合二麻上 疑開三C元平
沉默是金	澄開三侵平 明一登入 常開三支上 見開三B侵平
沐浴用品	明一東入 以三鍾入 以三鍾去 滂三B侵上
河北日報	匣開一歌平 幫一登入 日開三真入 幫一豪去
河北梆子	匣開一歌平 幫一登入 幫二江平 精開三之上
河外星系	匣開一歌平 疑合一泰去 心開四青平 匣開四齊去
河外星雲	匣開一歌平 疑合一泰去 心開四青平 云合三C文平
河豚毒素	匣開一歌平 定合一魂平 定一冬入 心一模去
沸沸揚揚	幫三C微去 幫三C微去 以開三陽平 以開三陽平
油然而生	以三尤平 日開三仙平 日開三之平 生開三庚平
治國理政	澄開三之平 見合一登入 來開三之上 章開三清去
